tool,warning description,type,subtype,type,subtype,type,subtype
Parasoft, Pointer variable 'pLZ_codes' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pLast' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pLastGoodPosition' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pLastIsoRun' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pLastPg' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pLater' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pLeft' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pLeftOver' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pLeftmost' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pLevel' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pLimit' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pList' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pListItem' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pListMember' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pLive' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pLock' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pLockingStyle' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pLoop' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pMain' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pMaskSet' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pMaster' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pMem' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pMod' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pModule' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pMove' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pMutex' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNC' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pName' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNe' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNearMatch' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNew' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNewExpr' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNewExpr1' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNewExpr2' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNewHeader' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNewSrc' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNewTerm' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNewTrunk' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNew_block' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNew_buf' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNew_p' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNext' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNextChunk' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNextRect' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pNextTo' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOB' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOBExpr' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pObjName' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOffset' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOld' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOldItem' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOne' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOp' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOpening' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOrInfo' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOrTab' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOrTerm' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOrWc' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOrderBy' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOrig' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOther' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOut' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOutFile' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOuterNC' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOutput' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOvflData' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pOvflPage' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pP1' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPage' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPage1' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPageMove' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPager' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPaperSize' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pParent' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pParse' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pParser' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPayload' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPg' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPgHdr' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPgOld' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPk' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPragma' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPrefix' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPrev' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPrevBox' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPrg' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPrior' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPriv' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPrivuseVal' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pProbe' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pProgram' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPtr' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPtrPage' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pPtrmap' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pQuery' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pR' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pRaise' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pRead_buf' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pReader' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pReadinfo' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pReadr1' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pReadr2' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pRealloc' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pRec' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pRecord' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pReg' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pRegEnd' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pRes' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pRet' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pRight' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pRoot' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pRt' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pS' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSO' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSavedWith' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSaved_output_buf' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSavepoint' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSchema' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSel' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSelTab' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSep' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pShmNode' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSib' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSlot' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSorter' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSpace' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSrc' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSrcDb' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSrcIdx' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSrcLimit' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSrcPg' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSrc_central_header' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pStart' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pStat' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pState' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pStep' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pStmt' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pStop' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pStr2' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pStyle' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pStyleTmp' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSub' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSub1' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSubLoop' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSubParse' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSubSrc' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSubWInfo' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSubitem' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSubquery' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSubtag' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pSyms' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTab' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTabCol' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTabCur' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTabItem' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTabList' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTable' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTableName' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTag' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTail' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTbls' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTemp' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTerm' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pText' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTime' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTmp' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTmp2' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTmpSpace' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTo' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pToDel' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTree' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTrig' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTrigger' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTriggerStep' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pTwo' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pUnused' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pUsage' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pVCur' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pVTab' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pVTable' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pVal' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pValueCurr' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pValueNext' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pVar' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pVdbe' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pVfs' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pVm' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pVtab' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pWC' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pWCEnd' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pWInfo' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pWLoop' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pWhere' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pWith' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pX' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'p_end' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'p_lastinx' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'p_pos' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pa' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'paNew' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pac' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pack' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'packed_tree' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'packpos' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'padjcut' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'padjncy' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'padjwgt' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'page' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'page0' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'page_buf' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'page_end' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pair' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pairs' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'par' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'par2' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'param' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'paramp' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'params' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'parent' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'parentnode' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'parentnode0' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'parse' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'parser' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'part' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'partial' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pass' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pass0' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pass1' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pass2' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'passbuff' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'passphrase' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'passwdp' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'password' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pat' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'path' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'path2' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pathname' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pathsep' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pattern' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'patternBundle' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pattern_label_end' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pattern_wildcard' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pax' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pax_attr_entry' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pb' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pbox' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pboxEnd' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pc' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcBuffer' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcChar' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcDest' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcDot' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcEnd' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcFilename' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcLADSPAPath' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcNew' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcOld' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcSrc' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcStart' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcTmp' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcTxt' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pch' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pchg' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pchglist' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcind' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pclrd' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcolids' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcolind' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcolptr' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcounts' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcptr' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pcurr' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pdata' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pe' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pe_requests' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pe_updates' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'peadjloc' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'peadjncy' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'peind' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pel' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'perm' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pexadj' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pf' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pfd' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pfile' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pfile_in_zip_read_info' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pfirst' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pfirst_1' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pfirst_2' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pfx' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pg' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pgnpwgts' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'phash_ctx' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'phrase' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'phrase_word' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pi' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'piEnd' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'picomp' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pijbm' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pind' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pinkeycopy' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pins' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pinv' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pipeline' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'piperm' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pipes' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pirlvl' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pivot' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pivot2' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pkey' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pkg' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pl' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'plainauth' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'plast' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'plast_1' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'plast_2' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'plib' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pline' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pmain' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pmarker' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pmat' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pmem' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pnErr' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pname' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pnew' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pnext' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pnorm' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pnt' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'point' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'point_p' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pointer' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pop' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'porder' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'port' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'portptr' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pos' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pos3' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pos_a' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pos_b' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'posixly_correct' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'post' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'post_read' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pother' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pow' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pp' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'ppNew' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'ppPrev' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'ppVTab' uninitialized when declared, Code Quality, General,,,,
Parasoft, Pointer variable 'pperm' uninitialized when declared, Code Quality, General,,,,
